Location,run,Name,fule,Transmission,Mileage,Engine,Power,Price
Bangalore,55392,Maruti S Cross DDiS 200 Alpha,Diesel,Manual,23.65,1248.0,88.5,8.25
Mumbai,55985,Audi A6 2011-2015 35 TFSI Technology,Petrol,Automatic,13.53,1984.0,177.01,23.5
Kolkata,45807,Hyundai i20 1.2 Magna,Petrol,Manual,18.5,1197.0,80.0,1.87
Kolkata,33000,Volkswagen Vento Petrol Highline AT,Petrol,Automatic,14.4,1598.0,103.6,2.85
Mumbai,51920,Honda City Corporate Edition,Petrol,Manual,16.8,1497.0,116.3,4.25
Hyderabad,54000,Nissan Micra Diesel XV,Diesel,Manual,23.08,1461.0,63.1,4.25
Hyderabad,54000,Maruti Alto K10 2010-2014 VXI,Petrol,Manual,20.92,998.0,67.1,2.75
Kochi,37430,Honda WRV i-VTEC VX,Petrol,Manual,17.5,1199.0,88.7,9.9
Mumbai,262000,Toyota Innova 2.5 V Diesel 7-seater,Diesel,Manual,12.8,2494.0,102.0,4.0
Bangalore,62000,Renault Duster 110PS Diesel RxZ Pack,Diesel,Manual,19.01,1461.0,108.45,7.75
Delhi,87615,Toyota Corolla Altis G,Petrol,Manual,14.53,1798.0,138.1,6.75
Bangalore,72000,Mahindra Ssangyong Rexton RX7,Diesel,Automatic,11.18,2696.0,184.0,12.5
Kolkata,35000,Audi A6 2.7 TDI,Diesel,Automatic,12.4,2698.0,179.5,11.5
Coimbatore,55431,Volkswagen Vento 1.6 Highline,Petrol,Manual,16.09,1598.0,103.5,6.98
Jaipur,83816,Maruti Wagon R LXI BSIII,Petrol,Manual,14.0,1061.0,64.0,1.85
Kochi,50075,Maruti Vitara Brezza ZDi Plus,Diesel,Manual,24.3,1248.0,88.5,8.63
Delhi,52000,Mahindra KUV 100 mFALCON G80 K6 5str AW,Petrol,Manual,18.15,1198.0,82.0,4.85
Pune,85000,Mercedes-Benz M-Class ML 350 CDI,Diesel,Automatic,11.74,2987.0,254.8,28.0
Chennai,62000,Volkswagen Polo Diesel Trendline 1.2L,Diesel,Manual,22.07,1199.0,73.9,5.0
Delhi,90000,Maruti Alto LXi,Petrol,Manual,19.7,796.0,46.3,1.25
Kochi,19698,Tata Nano LX SE,Petrol,Manual,25.4,624.0,37.5,1.53
Coimbatore,22033,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Diesel,Manual,25.32,1198.0,77.0,5.58
Kochi,35487,Hyundai i20 Magna Optional 1.2,Petrol,Manual,18.5,1197.0,82.9,4.74
Bangalore,46374,Hyundai Elantra 2.0 SX Option AT,Petrol,Automatic,14.62,1999.0,149.92,8.85
Mumbai,52001,Toyota Corolla Altis G AT,Petrol,Automatic,14.28,1798.0,138.03,10.11
Ahmedabad,58005,Hyundai Elantra CRDi,Diesel,Manual,14.9,1991.0,112.2,4.25
Bangalore,70704,Toyota Innova Crysta 2.7 GX MT,Petrol,Manual,11.25,2694.0,163.7,10.95
Jaipur,75000,Hyundai Xcent 1.1 CRDi S,Diesel,Manual,24.4,1120.0,71.0,3.85
Jaipur,75800,Mahindra Thar CRDe AC,Diesel,Manual,16.55,2498.0,105.0,5.5
Kochi,13648,Audi A4 2.0 TDI 177 Bhp Premium Plus,Diesel,Automatic,17.11,1968.0,174.33,21.43
Delhi,52000,Maruti Swift LDI,Diesel,Manual,22.9,1248.0,74.0,4.25
Kolkata,53000,Maruti Swift Ldi BSIV,Diesel,Manual,17.8,1248.0,75.0,3.3
Delhi,65650,Maruti Swift VDI,Diesel,Manual,28.4,1248.0,74.0,3.85
Chennai,54000,Hyundai Grand i10 Sportz,Petrol,Manual,18.9,1197.0,82.0,3.6
Kolkata,39000,Volkswagen Vento 2013-2015 1.6 Comfortline,Petrol,Manual,15.04,1598.0,103.2,3.99
Kochi,16542,Renault KWID RXT,Petrol,Manual,25.17,799.0,53.3,3.3
Kolkata,32000,Hyundai i10 Asta,Petrol,Manual,20.36,1197.0,78.9,2.07
Hyderabad,121812,Nissan X-Trail SLX AT,Diesel,Automatic,13.29,1995.0,147.6,7.75
Hyderabad,39300,Maruti Zen Estilo VXI BSIII,Petrol,Manual,18.2,998.0,67.1,2.25
Mumbai,22000,Toyota Innova Crysta 2.4 GX MT 8S,Diesel,Manual,13.68,2393.0,147.8,16.5
Bangalore,72000,Ford Figo Diesel Titanium,Diesel,Manual,20.0,1399.0,68.0,2.75
Delhi,58000,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Petrol,Automatic,11.74,1796.0,186.0,26.7
Pune,65000,Mercedes-Benz New C-Class 200 CDI Classic,Diesel,Manual,15.8,2148.0,170.0,10.0
Chennai,178000,Tata Indica V2 eLS,Diesel,Manual,25.0,1396.0,69.0,2.5
Jaipur,65664,Audi A4 2.0 TDI Multitronic,Diesel,Automatic,16.55,1968.0,140.0,13.5
Mumbai,63000,Honda City ZX CVT,Petrol,Automatic,16.4,1497.0,78.0,1.85
Coimbatore,15369,Mercedes-Benz C-Class Progressive C 220d,Diesel,Automatic,0.0,1950.0,194.0,35.67
Pune,63000,Maruti Ertiga SHVS VDI,Diesel,Manual,24.52,1248.0,88.5,8.15
Mumbai,13000,Hyundai Creta 1.4 E Plus Diesel,Diesel,Manual,22.1,1396.0,88.7,10.5
Mumbai,73000,Porsche Cayenne 2009-2014 Turbo,Petrol,Automatic,8.5,4806.0,500.0,14.5
Mumbai,55729,Mahindra XUV500 W8 4WD,Diesel,Manual,15.1,2179.0,140.0,9.65
Kochi,45178,Hyundai i10 Sportz 1.2 AT,Petrol,Automatic,16.95,1197.0,78.9,3.48
Kochi,56066,Nissan Terrano XV D Pre,Diesel,Manual,19.64,1461.0,108.5,6.92
Coimbatore,37300,Honda Brio VX AT,Petrol,Automatic,16.5,1198.0,86.8,6.46
Delhi,56000,Audi A6 2.0 TDI Design Edition,Diesel,Automatic,18.53,1968.0,187.74,29.5
Jaipur,111111,Ford Fiesta 1.4 SXi TDCi,Diesel,Manual,17.8,1399.0,112.76521404351512,2.0
Chennai,230000,Toyota Innova 2.0 G1,Petrol,Manual,12.4,1998.0,132.0,4.5
Hyderabad,104000,Toyota Innova 2.5 VX 7 STR BSIV,Diesel,Manual,12.8,2494.0,102.0,11.75
Hyderabad,87591,Hyundai Santro Xing XL,Petrol,Manual,0.0,1086.0,112.76521404351512,1.3
Jaipur,95100,Maruti Swift VDI,Diesel,Manual,22.9,1248.0,74.0,3.75
Pune,70000,Tata Zest Revotron 1.2T XE,Petrol,Manual,17.57,1193.0,88.7,4.5
Kochi,54944,Honda Amaze SX i-VTEC,Petrol,Manual,18.0,1198.0,86.7,4.82
Hyderabad,70337,Ford Figo Diesel ZXI,Diesel,Manual,20.0,1399.0,68.0,2.8
Jaipur,99638,Maruti Ritz VDi,Diesel,Manual,23.2,1248.0,73.94,3.11
Delhi,52000,Honda City i VTEC E,Petrol,Manual,17.8,1497.0,117.3,3.25
Delhi,75000,BMW 5 Series 2003-2012 525d,Diesel,Automatic,16.73,1995.0,218.0,13.9
Pune,95980,Hyundai i10 Sportz 1.2,Petrol,Manual,20.36,1197.0,78.9,2.25
Bangalore,16000,Hyundai Grand i10 Sportz,Petrol,Manual,18.9,1197.0,82.0,5.75
Hyderabad,73745,Hyundai Santro Xing XO,Petrol,Manual,17.0,1086.0,112.76521404351512,2.1
Mumbai,18949,Honda Amaze SX i-VTEC,Petrol,Manual,17.8,1198.0,86.7,5.0
Delhi,107000,Toyota Fortuner 4x2 Manual,Diesel,Manual,13.0,2982.0,168.5,16.5
Coimbatore,48367,Audi A6 2011-2015 35 TDI Premium,Diesel,Automatic,17.68,1968.0,174.33,39.58
Delhi,57000,Ford Ecosport 1.5 DV5 MT Titanium Optional,Diesel,Manual,22.7,1498.0,89.84,5.5
Delhi,58000,Mahindra XUV500 W8 2WD,Diesel,Manual,15.1,2179.0,140.0,8.1
Kolkata,30000,Honda Amaze SX i-DTEC,Diesel,Manual,25.8,1498.0,98.6,3.5
Kolkata,34212,Volkswagen Polo Diesel Highline 1.2L,Diesel,Manual,22.07,1199.0,73.9,2.79
Ahmedabad,70002,Hyundai Verna Transform SX VGT CRDi,Diesel,Manual,16.2,1493.0,110.0,3.45
Bangalore,62000,Maruti Wagon R VXI BS IV,Petrol,Manual,18.9,998.0,67.1,4.45
Delhi,62001,Volkswagen Polo Petrol Highline 1.6L,Petrol,Manual,15.26,1598.0,103.5,2.65
Pune,78958,Hyundai i20 1.4 CRDi Sportz,Diesel,Manual,23.0,1396.0,90.0,3.8
Mumbai,30180,Hyundai i20 Asta 1.2,Petrol,Manual,18.5,1197.0,82.85,4.65
Pune,32851,Datsun GO Plus T Petrol,Petrol,Manual,19.83,1198.0,67.0,3.95
Kolkata,30000,Audi A4 3.0 TDI Quattro Premium,Diesel,Automatic,14.94,2967.0,241.4,9.8
Pune,66000,Hyundai i20 2015-2017 Asta,Petrol,Manual,17.0,1197.0,80.0,2.7
Coimbatore,93850,Maruti Omni 5 Str STD,Petrol,Manual,14.0,796.0,35.0,2.41
Ahmedabad,53000,Toyota Etios Liva 1.2 G,Petrol,Manual,17.71,1197.0,78.9,3.9
Hyderabad,78000,Jaguar XF 3.0 Litre S Premium Luxury,Diesel,Automatic,14.74,2993.0,270.9,24.0
Delhi,65000,Mahindra XUV500 W8 2WD,Diesel,Manual,16.0,2179.0,140.0,5.75
Kolkata,40000,Hyundai Verna 1.6 SX CRDI (O) AT,Diesel,Automatic,22.32,1582.0,126.32,5.25
Mumbai,30000,Toyota Innova Crysta 2.8 ZX AT,Diesel,Automatic,11.36,2755.0,171.5,19.25
Coimbatore,38053,Maruti Eeco 5 Seater AC,Petrol,Manual,15.1,1196.0,73.0,3.91
Bangalore,25500,Tata Nano Twist XT,Petrol,Manual,25.4,624.0,37.5,2.15
Mumbai,56087,BMW 3 Series 320d Luxury Line,Diesel,Automatic,22.69,1995.0,190.0,20.75
Delhi,71088,Honda Civic 2006-2010 1.8 V MT,Petrol,Manual,13.5,1799.0,130.0,3.35
Ahmedabad,55000,Toyota Innova 2.5 VX (Diesel) 7 Seater,Diesel,Manual,12.99,2494.0,100.6,11.11
Bangalore,32700,Volvo V40 Cross Country D3,Diesel,Automatic,23.3,1984.0,150.0,20.0
Coimbatore,39882,Nissan Micra XV CVT,Petrol,Automatic,19.15,1198.0,75.94,6.55
Mumbai,128000,BMW 5 Series 2010-2013 525i,Petrol,Automatic,10.8,2497.0,215.0,7.0
Mumbai,55000,Maruti Vitara Brezza VDi,Diesel,Manual,24.3,1248.0,88.5,7.5
Mumbai,102000,Hyundai Santro Xing XL eRLX Euro III,Petrol,Manual,17.0,1086.0,112.76521404351512,0.85
Pune,53753,Mercedes-Benz B Class B200 CDI,Diesel,Automatic,15.0,2143.0,107.3,16.75
Kolkata,10250,Hyundai Verna CRDi 1.6 SX Option,Diesel,Manual,22.0,1582.0,126.2,10.95
Pune,43874,Maruti Wagon R LXI BS IV,Petrol,Manual,18.9,998.0,67.1,2.45
Coimbatore,32684,Tata Nano XTA,Petrol,Automatic,21.9,624.0,37.48,3.23
Kolkata,42000,Mahindra Scorpio VLX,Diesel,Manual,12.05,2179.0,120.0,7.75
Kolkata,28352,Mercedes-Benz New C-Class 200 K AT,Petrol,Automatic,11.7,1796.0,178.0,9.35
Pune,89900,Maruti Wagon R LXI CNG,CNG,Manual,26.6,998.0,58.16,3.25
Bangalore,47700,Honda CR-V 2.4 MT,Petrol,Manual,10.8,2354.0,152.0,5.25
Pune,55000,Volkswagen Vento 1.5 TDI Comfortline AT,Diesel,Automatic,21.21,1498.0,103.2,7.25
Kochi,44285,Maruti Ciaz VXi Plus,Petrol,Manual,20.73,1373.0,91.1,7.47
Jaipur,54000,Mahindra XUV500 AT W10 FWD,Diesel,Automatic,16.0,2179.0,140.0,13.25
Coimbatore,30232,Maruti Ritz VXI ABS,Petrol,Manual,21.1,1197.0,85.8,5.81
Hyderabad,88500,Maruti Alto K10 VXI,Petrol,Manual,24.07,998.0,67.1,2.6
Kolkata,13372,Mercedes-Benz SLC 43 AMG,Petrol,Automatic,19.0,2996.0,362.07,54.0
Kochi,12645,Hyundai Verna VTVT 1.6 AT SX Plus,Petrol,Automatic,17.0,1591.0,121.3,11.5
Chennai,94385,Maruti Alto LXi BSIII,Petrol,Manual,19.7,796.0,46.3,1.6
Coimbatore,31821,BMW 1 Series 118d Base,Diesel,Automatic,20.58,1995.0,143.0,17.22
Mumbai,12000,Honda Jazz 1.2 V CVT i VTEC,Petrol,Automatic,19.0,1199.0,88.7,6.0
Delhi,88578,Honda Civic 2006-2010 1.8 V MT,Petrol,Manual,13.5,1799.0,130.0,3.95
Kochi,44965,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Diesel,Automatic,19.27,2143.0,170.0,17.95
Kolkata,45044,Honda Amaze SX i-DTEC,Diesel,Manual,25.8,1498.0,98.6,3.7
Kochi,34204,Maruti Swift VVT VXI,Petrol,Manual,22.0,1197.0,81.8,5.43
Kochi,80759,Hyundai Santro Xing XO eRLX Euro II,Petrol,Manual,17.0,1086.0,112.76521404351512,1.67
Coimbatore,91235,Toyota Fortuner 3.0 Diesel,Diesel,Manual,11.5,2982.0,171.0,13.49
Pune,38800,Chevrolet Beat LT Option,Petrol,Manual,18.6,1199.0,76.8,2.85
Chennai,83000,Skoda Rapid 1.5 TDI Elegance,Diesel,Manual,21.14,1498.0,103.52,4.75
Kochi,41283,Maruti Ciaz 1.4 Alpha,Petrol,Manual,20.73,1373.0,91.1,9.9
Mumbai,23000,Audi RS5 Coupe,Petrol,Automatic,11.05,2894.0,444.0,37.0
Mumbai,48000,BMW 3 Series Luxury Line,Diesel,Automatic,21.76,1995.0,190.0,26.5
Coimbatore,48214,Audi A4 2.0 TDI 177 Bhp Premium Plus,Diesel,Automatic,17.11,1968.0,174.33,23.32
Chennai,35000,Maruti Swift VDI,Diesel,Manual,22.9,1248.0,74.0,6.25
Kolkata,35277,Mercedes-Benz S Class 2005 2013 S 500,Petrol,Automatic,7.81,5461.0,362.9,30.0
Coimbatore,54620,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Diesel,Automatic,21.66,1498.0,103.52,9.86
Pune,136997,Skoda Superb Elegance 2.0 TDI CR AT,Diesel,Automatic,17.2,1968.0,138.1,8.5
Kochi,14322,Hyundai EON Magna Plus,Petrol,Manual,21.1,814.0,55.2,4.23
Jaipur,65634,Volkswagen Polo Diesel Trendline 1.2L,Diesel,Manual,22.07,1199.0,73.9,3.5
Kolkata,6000,Datsun GO NXT,Petrol,Manual,20.63,1198.0,67.06,2.5
Kolkata,33280,Honda Brio S MT,Petrol,Manual,19.4,1198.0,86.8,2.39
Delhi,29000,Mercedes-Benz B Class B180,Petrol,Automatic,14.8,1595.0,120.7,11.25
Kochi,42831,Honda City i DTEC V,Diesel,Manual,26.0,1498.0,98.6,7.11
Ahmedabad,90000,Toyota Innova 2.5 G (Diesel) 7 Seater,Diesel,Manual,12.99,2494.0,100.6,10.9
Ahmedabad,24005,Maruti Swift VXI Optional,Petrol,Manual,20.4,1197.0,81.8,6.2
Mumbai,32792,Mahindra XUV500 W8 2WD,Diesel,Manual,15.1,2179.0,140.0,7.9
Kochi,147898,Ford Ecosport 1.5 DV5 MT Ambiente,Diesel,Manual,22.7,1498.0,89.84,4.42
Mumbai,131765,Toyota Fortuner 4x2 Manual,Diesel,Manual,13.0,2982.0,168.5,13.5
Chennai,65000,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Diesel,Automatic,21.5,1498.0,108.5,6.25
Jaipur,66123,Ford Figo Diesel Titanium,Diesel,Manual,20.0,1399.0,68.0,2.1
Mumbai,41000,BMW X5 xDrive 30d,Diesel,Automatic,15.3,2993.0,258.0,45.0
Coimbatore,23550,Mercedes-Benz New C-Class C 220 CDI Style,Diesel,Automatic,19.27,2143.0,167.62,33.66
Bangalore,45000,Honda Brio V MT,Petrol,Manual,19.4,1198.0,86.8,3.65
Delhi,60000,Hyundai i10 Magna 1.2,Petrol,Manual,20.36,1197.0,78.9,2.75
Bangalore,44414,Mercedes-Benz GLC 220,Diesel,Automatic,17.9,2143.0,170.0,42.5
Kolkata,1000,Hyundai Grand i10 1.2 Kappa Asta,Petrol,Manual,18.9,1197.0,81.86,6.5
Mumbai,62500,Audi A6 2011-2015 2.0 TDI Premium Plus,Diesel,Automatic,17.68,1968.0,174.33,19.0
Mumbai,21000,Volkswagen Vento Petrol Highline AT,Petrol,Automatic,14.4,1598.0,103.6,4.45
Jaipur,8525,Mini Countryman Cooper D,Diesel,Automatic,16.6,1998.0,112.0,23.0
Bangalore,29000,Hyundai i20 Asta 1.4 CRDi,Diesel,Manual,22.54,1396.0,88.73,8.35
Mumbai,40000,Audi A6 2011-2015 2.0 TDI Premium Plus,Diesel,Automatic,17.68,1968.0,174.33,22.95
Jaipur,88000,Chevrolet Beat Diesel LT,Diesel,Manual,25.44,936.0,57.6,1.5
Kochi,53537,Skoda Superb Elegance 1.8 TSI AT,Petrol,Automatic,13.7,1798.0,157.75,6.89
Chennai,216000,Ford Fiesta 1.4 TDCi EXI Limited Edition,Diesel,Manual,17.8,1399.0,68.0,1.45
Hyderabad,51000,BMW 5 Series 520d Luxury Line,Diesel,Automatic,22.48,1995.0,190.0,33.5
Jaipur,118500,Chevrolet Optra Magnum 1.6 LS BS3,Petrol,Manual,12.9,1598.0,102.5,1.25
Hyderabad,63000,Volkswagen Polo Diesel Highline 1.2L,Diesel,Manual,22.07,1199.0,73.9,4.2
Mumbai,25000,Renault Lodgy 110PS RxZ 8 Seater,Diesel,Manual,19.98,1461.0,108.5,6.75
Bangalore,37382,Mercedes-Benz E-Class E250 CDI Avantgrade,Diesel,Automatic,13.0,2143.0,201.1,32.0
Kochi,24773,Maruti Baleno Alpha,Petrol,Manual,21.4,1197.0,83.1,7.5
Delhi,62000,Hyundai Verna 1.6 SX,Diesel,Manual,22.32,1582.0,126.32,4.6
Kochi,52340,Hyundai i10 Magna 1.1,Petrol,Manual,19.81,1086.0,68.05,4.04
Kochi,56739,Mahindra Scorpio 1.99 S10 4WD,Diesel,Manual,15.4,1997.0,120.0,10.31
Coimbatore,36091,Land Rover Range Rover 2.2L Dynamic,Diesel,Automatic,12.7,2179.0,187.7,55.76
Chennai,120000,Ford Figo Diesel ZXI,Diesel,Manual,20.0,1399.0,68.0,2.6
Mumbai,33000,Maruti Ertiga ZDI,Diesel,Manual,25.47,1248.0,88.5,8.5
Ahmedabad,60006,Honda City 1.5 GXI,Petrol,Manual,0.0,1616.5734702372692,112.76521404351512,2.95
Kolkata,52000,Honda Amaze S i-Dtech,Diesel,Manual,25.8,1498.0,98.6,3.5
Jaipur,43571,Hyundai i10 Magna,Petrol,Manual,20.36,1197.0,78.9,3.55
Kolkata,50000,Honda Amaze S i-Dtech,Diesel,Manual,25.8,1498.0,98.6,3.25
Hyderabad,113000,Skoda Laura Ambiente,Diesel,Manual,17.5,1896.0,106.0,4.5
Delhi,90000,Renault Duster 85PS Diesel RxL,Diesel,Manual,19.87,1461.0,83.8,5.35
Chennai,29000,Mahindra NuvoSport N6,Diesel,Manual,17.45,1493.0,100.0,6.5
Mumbai,20000,Maruti Vitara Brezza ZDi Plus Dual Tone,Diesel,Manual,24.3,1248.0,88.5,9.0
Kochi,61012,Hyundai i20 Asta Option 1.2,Petrol,Manual,18.6,1197.0,81.83,6.0
Jaipur,87459,Skoda Fabia 1.4 MPI Ambiente,Petrol,Manual,14.7,1390.0,85.0,2.75
Pune,70500,Tata Indigo eCS GLX,Petrol,Manual,15.64,1193.0,64.1,1.5
Delhi,64103,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Diesel,Automatic,15.73,1968.0,174.33,19.9
Mumbai,76000,Skoda Octavia Elegance 1.8 TSI AT,Petrol,Automatic,14.7,1798.0,177.5,10.0
Delhi,104000,Toyota Etios Liva GD SP,Diesel,Manual,23.59,1364.0,67.06,3.0
Kolkata,42001,Maruti Swift 1.3 VXi,Petrol,Manual,16.1,1616.5734702372692,112.76521404351512,2.11
Kochi,37245,Mercedes-Benz B Class B180,Petrol,Automatic,14.8,1595.0,120.7,11.96
Kolkata,45000,Honda Amaze S Diesel,Diesel,Manual,27.4,1498.0,98.6,3.25
Jaipur,117837,Hyundai Verna 1.6 SX,Diesel,Manual,22.32,1582.0,126.32,4.75
Mumbai,30000,Renault Duster 85PS Diesel RxL Optional,Diesel,Manual,20.46,1461.0,83.8,5.95
Delhi,27057,Hyundai Creta 1.6 VTVT S,Petrol,Manual,15.29,1591.0,121.3,8.15
Mumbai,8500,Maruti Wagon R AMT VXI,Petrol,Automatic,20.51,998.0,67.0,4.22
Kolkata,30500,Mercedes-Benz New C-Class C250 Avantgarde,Petrol,Automatic,11.74,1796.0,186.0,10.5
Delhi,56000,Audi A8 L 3.0 TDI quattro,Diesel,Automatic,11.8,2967.0,246.7,45.0
Pune,44000,Hyundai i10 Magna 1.1,Petrol,Manual,19.81,1086.0,68.05,2.9
Mumbai,10500,Skoda Rapid 1.6 MPI AT Style Black Package,Petrol,Automatic,14.3,1598.0,103.52,8.9
Hyderabad,26000,Skoda Superb Style 1.8 TSI AT,Petrol,Automatic,14.67,1798.0,177.46,26.0
Coimbatore,25166,Hyundai i20 Active 1.2 SX,Petrol,Manual,17.19,1197.0,81.86,8.22
Kolkata,64000,Honda Amaze VX i-DTEC,Diesel,Manual,25.8,1498.0,98.6,3.5
Chennai,61000,Maruti Wagon R LXI,Petrol,Manual,18.9,998.0,67.1,1.25
Hyderabad,107000,Mahindra Verito 1.5 D4 BSIV,Diesel,Manual,21.03,1461.0,65.0,3.7
Coimbatore,29161,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Diesel,Automatic,19.27,2143.0,167.62,39.41
Kolkata,32000,Maruti Wagon R VXI,Petrol,Manual,22.5,998.0,67.04,2.65
Coimbatore,46173,Nissan Terrano XV Premium 110 PS Anniversary Edition,Diesel,Manual,19.01,1461.0,108.5,8.92
Delhi,47000,Maruti Swift VDI BSIV,Diesel,Manual,17.8,1248.0,112.76521404351512,4.1
Kochi,26327,Mini Cooper Convertible S,Petrol,Automatic,16.82,1998.0,189.08,35.67
Bangalore,70436,Ford Figo Diesel,Diesel,Manual,0.0,1498.0,99.0,3.6
Jaipur,200000,Tata Indica V2 DLS BSII,Diesel,Manual,17.2,1396.0,53.5,0.85
Kochi,60813,Chevrolet Beat LT,Petrol,Manual,18.6,1199.0,76.8,3.32
Mumbai,45000,Volkswagen Polo Diesel Comfortline 1.2L,Diesel,Manual,22.07,1199.0,73.9,3.6
Hyderabad,64000,Maruti Swift ZDi,Diesel,Manual,22.9,1248.0,74.0,6.8
Kolkata,41284,Ford Figo Diesel EXI,Diesel,Manual,20.0,1399.0,68.05,2.5
Kochi,14165,Toyota Innova Crysta 2.8 GX AT,Diesel,Automatic,11.36,2755.0,171.5,19.64
Mumbai,67000,Hyundai Santa Fe 4x4 AT,Diesel,Automatic,11.72,2199.0,194.3,7.0
Kolkata,32572,Honda City i-VTEC V,Petrol,Manual,17.4,1497.0,117.3,3.87
Kochi,14960,Hyundai i20 1.2 Magna Executive,Petrol,Manual,18.6,1197.0,81.83,6.27
Kochi,55980,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Diesel,Automatic,19.27,2143.0,167.62,18.12
Mumbai,74000,Chevrolet Beat Diesel LT,Diesel,Manual,25.44,936.0,57.6,2.65
Kochi,56847,Hyundai i20 Sportz 1.4 CRDi,Diesel,Manual,22.54,1396.0,88.73,7.2
Coimbatore,121374,Toyota Innova 2.5 Z Diesel 7 Seater,Diesel,Manual,12.99,2494.0,100.6,14.3
Chennai,52000,Maruti Ertiga VDI,Diesel,Manual,20.77,1248.0,88.76,6.9
Mumbai,118000,Toyota Innova 2.5 V Diesel 7-seater,Diesel,Manual,12.8,2494.0,102.0,10.75
Mumbai,72000,Hyundai Santro Xing XO eRLX Euro II,Petrol,Manual,17.0,1086.0,112.76521404351512,0.95
Kochi,33915,Honda City i VTEC V,Petrol,Manual,17.8,1497.0,117.3,8.09
Ahmedabad,82002,BMW X1 sDrive20d,Diesel,Automatic,17.05,1995.0,184.0,18.5
Mumbai,33000,Hyundai Grand i10 CRDi Era,Diesel,Manual,24.0,1120.0,70.0,4.75
Chennai,34000,Maruti Ciaz 1.3 Alpha,Diesel,Manual,28.09,1248.0,88.5,8.45
Kolkata,55000,Skoda Rapid Leisure 1.6 TDI MT,Diesel,Manual,20.5,1598.0,103.6,3.5
Kochi,160538,Hyundai A ent CRDi,Diesel,Manual,13.1,1493.0,82.0,1.8
Jaipur,60000,Volkswagen Polo GT 1.5 TDI,Diesel,Manual,19.91,1498.0,103.6,3.7
Coimbatore,49575,Honda Jazz 1.2 VX i VTEC,Petrol,Manual,18.7,1199.0,88.7,7.17
Jaipur,83000,Hyundai i10 Era,Petrol,Manual,19.81,1086.0,68.05,1.75
Kochi,51346,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Diesel,Automatic,16.38,1995.0,183.0,21.99
Pune,43000,Toyota Innova Crysta 2.4 ZX MT,Diesel,Manual,13.68,2393.0,147.8,18.65
Jaipur,35000,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Petrol,Manual,19.7,796.0,35.0,1.85
Coimbatore,27872,Maruti Swift VXI BSIV,Petrol,Manual,20.4,1197.0,81.8,5.95
Mumbai,16514,Hyundai Grand i10 Magna,Petrol,Manual,18.9,1197.0,82.0,3.75
Pune,120000,Maruti Swift VDI,Diesel,Manual,22.9,1248.0,74.0,3.75
