Year,Location,Name,distance,fule,Transmission,Owner_Type,Mileage,Engine,price,Price
2012,Jaipur,Audi A4 2.0 TDI Multitronic,65664,Diesel,Automatic,First,16.55,1968.0,,13.5
2007,Mumbai,Honda City ZX CVT,63000,Petrol,Automatic,Second,16.4,1497.0,,1.85
2019,Coimbatore,Mercedes-Benz C-Class Progressive C 220d,15369,Diesel,Automatic,First,0.0,1950.0,49.14 Lakh,35.67
2016,Pune,Maruti Ertiga SHVS VDI,63000,Diesel,Manual,First,24.52,1248.0,,8.15
2018,Mumbai,Hyundai Creta 1.4 E Plus Diesel,13000,Diesel,Manual,First,22.1,1396.0,11.81 Lakh,10.5
2008,Mumbai,Porsche Cayenne 2009-2014 Turbo,73000,Petrol,Automatic,First,8.5,4806.0,,14.5
2015,Mumbai,Mahindra XUV500 W8 4WD,55729,Diesel,Manual,First,15.1,2179.0,,9.65
2012,Kochi,Hyundai i10 Sportz 1.2 AT,45178,Petrol,Automatic,First,16.95,1197.0,,3.48
2015,Kochi,Nissan Terrano XV D Pre,56066,Diesel,Manual,First,19.64,1461.0,16.65 Lakh,6.92
2016,Coimbatore,Honda Brio VX AT,37300,Petrol,Automatic,Second,16.5,1198.0,,6.46
2014,Delhi,Audi A6 2.0 TDI Design Edition,56000,Diesel,Automatic,Second,18.53,1968.0,,29.5
2008,Jaipur,Ford Fiesta 1.4 SXi TDCi,111111,Diesel,Manual,First,17.8,1399.0,,2.0
2006,Chennai,Toyota Innova 2.0 G1,230000,Petrol,Manual,Third,12.4,1998.0,,4.5
2012,Hyderabad,Toyota Innova 2.5 VX 7 STR BSIV,104000,Diesel,Manual,First,12.8,2494.0,,11.75
2005,Hyderabad,Hyundai Santro Xing XL,87591,Petrol,Manual,First,0.0,1086.0,,1.3
2012,Jaipur,Maruti Swift VDI,95100,Diesel,Manual,First,22.9,1248.0,,3.75
2017,Pune,Tata Zest Revotron 1.2T XE,70000,Petrol,Manual,First,17.57,1193.0,6.67 Lakh,4.5
2016,Kochi,Honda Amaze SX i-VTEC,54944,Petrol,Manual,First,18.0,1198.0,,4.82
2012,Hyderabad,Ford Figo Diesel ZXI,70337,Diesel,Manual,First,20.0,1399.0,,2.8
2013,Jaipur,Maruti Ritz VDi,99638,Diesel,Manual,First,23.2,1248.0,,3.11
2009,Delhi,Honda City i VTEC E,52000,Petrol,Manual,First,17.8,1497.0,,3.25
2011,Delhi,BMW 5 Series 2003-2012 525d,75000,Diesel,Automatic,Second,16.73,1995.0,,13.9
2009,Pune,Hyundai i10 Sportz 1.2,95980,Petrol,Manual,First,20.36,1197.0,,2.25
2016,Bangalore,Hyundai Grand i10 Sportz,16000,Petrol,Manual,First,18.9,1197.0,,5.75
2007,Hyderabad,Hyundai Santro Xing XO,73745,Petrol,Manual,First,17.0,1086.0,,2.1
2016,Mumbai,Honda Amaze SX i-VTEC,18949,Petrol,Manual,First,17.8,1198.0,,5.0
2014,Delhi,Toyota Fortuner 4x2 Manual,107000,Diesel,Manual,First,13.0,2982.0,,16.5
2018,Coimbatore,Audi A6 2011-2015 35 TDI Premium,48367,Diesel,Automatic,First,17.68,1968.0,,39.58
2013,Delhi,Ford Ecosport 1.5 DV5 MT Titanium Optional,57000,Diesel,Manual,First,22.7,1498.0,,5.5
2014,Delhi,Mahindra XUV500 W8 2WD,58000,Diesel,Manual,First,15.1,2179.0,,8.1
2015,Kolkata,Honda Amaze SX i-DTEC,30000,Diesel,Manual,First,25.8,1498.0,,3.5
2013,Kolkata,Volkswagen Polo Diesel Highline 1.2L,34212,Diesel,Manual,First,22.07,1199.0,,2.79
2010,Ahmedabad,Hyundai Verna Transform SX VGT CRDi,70002,Diesel,Manual,First,16.2,1493.0,,3.45
2016,Bangalore,Maruti Wagon R VXI BS IV,62000,Petrol,Manual,First,18.9,998.0,,4.45
2010,Delhi,Volkswagen Polo Petrol Highline 1.6L,62001,Petrol,Manual,First,15.26,1598.0,,2.65
2011,Pune,Hyundai i20 1.4 CRDi Sportz,78958,Diesel,Manual,Second,23.0,1396.0,,3.8
2014,Mumbai,Hyundai i20 Asta 1.2,30180,Petrol,Manual,First,18.5,1197.0,,4.65
2017,Pune,Datsun GO Plus T Petrol,32851,Petrol,Manual,First,19.83,1198.0,6.45 Lakh,3.95
2010,Kolkata,Audi A4 3.0 TDI Quattro Premium,30000,Diesel,Automatic,First,14.94,2967.0,,9.8
2009,Pune,Hyundai i20 2015-2017 Asta,66000,Petrol,Manual,Second,17.0,1197.0,,2.7
2010,Coimbatore,Maruti Omni 5 Str STD,93850,Petrol,Manual,First,14.0,796.0,,2.41
2014,Ahmedabad,Toyota Etios Liva 1.2 G,53000,Petrol,Manual,First,17.71,1197.0,6.41 Lakh,3.9
2011,Hyderabad,Jaguar XF 3.0 Litre S Premium Luxury,78000,Diesel,Automatic,Second,14.74,2993.0,,24.0
2012,Delhi,Mahindra XUV500 W8 2WD,65000,Diesel,Manual,Second,16.0,2179.0,,5.75
2014,Kolkata,Hyundai Verna 1.6 SX CRDI (O) AT,40000,Diesel,Automatic,First,22.32,1582.0,,5.25
2017,Mumbai,Toyota Innova Crysta 2.8 ZX AT,30000,Diesel,Automatic,First,11.36,2755.0,27 Lakh,19.25
2017,Coimbatore,Maruti Eeco 5 Seater AC,38053,Petrol,Manual,First,15.1,1196.0,5.13 Lakh,3.91
2014,Bangalore,Tata Nano Twist XT,25500,Petrol,Manual,First,25.4,624.0,,2.15
2015,Mumbai,BMW 3 Series 320d Luxury Line,56087,Diesel,Automatic,First,22.69,1995.0,54.43 Lakh,20.75
2010,Delhi,Honda Civic 2006-2010 1.8 V MT,71088,Petrol,Manual,First,13.5,1799.0,,3.35
2014,Ahmedabad,Toyota Innova 2.5 VX (Diesel) 7 Seater,55000,Diesel,Manual,First,12.99,2494.0,,11.11
2014,Bangalore,Volvo V40 Cross Country D3,32700,Diesel,Automatic,First,23.3,1984.0,,20.0
2016,Coimbatore,Nissan Micra XV CVT,39882,Petrol,Automatic,First,19.15,1198.0,9.51 Lakh,6.55
2009,Mumbai,BMW 5 Series 2010-2013 525i,128000,Petrol,Automatic,First,10.8,2497.0,,7.0
2016,Mumbai,Maruti Vitara Brezza VDi,55000,Diesel,Manual,First,24.3,1248.0,9.96 Lakh,7.5
2005,Mumbai,Hyundai Santro Xing XL eRLX Euro III,102000,Petrol,Manual,Second,17.0,1086.0,,0.85
2014,Pune,Mercedes-Benz B Class B200 CDI,53753,Diesel,Automatic,Second,15.0,2143.0,,16.75
2018,Kolkata,Hyundai Verna CRDi 1.6 SX Option,10250,Diesel,Manual,First,22.0,1582.0,14.44 Lakh,10.95
2011,Pune,Maruti Wagon R LXI BS IV,43874,Petrol,Manual,First,18.9,998.0,,2.45
2017,Coimbatore,Tata Nano XTA,32684,Petrol,Automatic,First,21.9,624.0,,3.23
2014,Kolkata,Mahindra Scorpio VLX,42000,Diesel,Manual,First,12.05,2179.0,,7.75
2009,Kolkata,Mercedes-Benz New C-Class 200 K AT,28352,Petrol,Automatic,First,11.7,1796.0,,9.35
2013,Pune,Maruti Wagon R LXI CNG,89900,CNG,Manual,First,26.6,998.0,,3.25
2007,Bangalore,Honda CR-V 2.4 MT,47700,Petrol,Manual,Second,10.8,2354.0,,5.25
2015,Pune,Volkswagen Vento 1.5 TDI Comfortline AT,55000,Diesel,Automatic,First,21.21,1498.0,,7.25
2017,Kochi,Maruti Ciaz VXi Plus,44285,Petrol,Manual,First,20.73,1373.0,,7.47
2016,Jaipur,Mahindra XUV500 AT W10 FWD,54000,Diesel,Automatic,First,16.0,2179.0,,13.25
2016,Coimbatore,Maruti Ritz VXI ABS,30232,Petrol,Manual,First,21.1,1197.0,,5.81
2014,Hyderabad,Maruti Alto K10 VXI,88500,Petrol,Manual,First,24.07,998.0,4.53 Lakh,2.6
2017,Kolkata,Mercedes-Benz SLC 43 AMG,13372,Petrol,Automatic,First,19.0,2996.0,95.04 Lakh,54.0
2019,Kochi,Hyundai Verna VTVT 1.6 AT SX Plus,12645,Petrol,Automatic,First,17.0,1591.0,13.49 Lakh,11.5
2010,Chennai,Maruti Alto LXi BSIII,94385,Petrol,Manual,Second,19.7,796.0,,1.6
2015,Coimbatore,BMW 1 Series 118d Base,31821,Diesel,Automatic,First,20.58,1995.0,,17.22
2015,Mumbai,Honda Jazz 1.2 V CVT i VTEC,12000,Petrol,Automatic,First,19.0,1199.0,,6.0
2012,Delhi,Honda Civic 2006-2010 1.8 V MT,88578,Petrol,Manual,First,13.5,1799.0,,3.95
2014,Kochi,Mercedes-Benz New C-Class C 220 CDI Avantgarde,44965,Diesel,Automatic,First,19.27,2143.0,,17.95
2014,Kolkata,Honda Amaze SX i-DTEC,45044,Diesel,Manual,First,25.8,1498.0,,3.7
2016,Kochi,Maruti Swift VVT VXI,34204,Petrol,Manual,First,22.0,1197.0,,5.43
2008,Kochi,Hyundai Santro Xing XO eRLX Euro II,80759,Petrol,Manual,Third,17.0,1086.0,,1.67
2012,Coimbatore,Toyota Fortuner 3.0 Diesel,91235,Diesel,Manual,First,11.5,2982.0,,13.49
2014,Pune,Chevrolet Beat LT Option,38800,Petrol,Manual,First,18.6,1199.0,,2.85
2013,Chennai,Skoda Rapid 1.5 TDI Elegance,83000,Diesel,Manual,First,21.14,1498.0,,4.75
2018,Kochi,Maruti Ciaz 1.4 Alpha,41283,Petrol,Manual,First,20.73,1373.0,,9.9
2013,Mumbai,Audi RS5 Coupe,23000,Petrol,Automatic,First,11.05,2894.0,1.28 Cr,37.0
2014,Mumbai,BMW 3 Series Luxury Line,48000,Diesel,Automatic,First,21.76,1995.0,60.88 Lakh,26.5
2015,Coimbatore,Audi A4 2.0 TDI 177 Bhp Premium Plus,48214,Diesel,Automatic,First,17.11,1968.0,,23.32
2016,Chennai,Maruti Swift VDI,35000,Diesel,Manual,First,22.9,1248.0,,6.25
2010,Kolkata,Mercedes-Benz S Class 2005 2013 S 500,35277,Petrol,Automatic,First,7.81,5461.0,,30.0
2016,Coimbatore,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,54620,Diesel,Automatic,First,21.66,1498.0,,9.86
2012,Pune,Skoda Superb Elegance 2.0 TDI CR AT,136997,Diesel,Automatic,First,17.2,1968.0,,8.5
2019,Kochi,Hyundai EON Magna Plus,14322,Petrol,Manual,First,21.1,814.0,,4.23
2012,Jaipur,Volkswagen Polo Diesel Trendline 1.2L,65634,Diesel,Manual,First,22.07,1199.0,,3.5
2016,Kolkata,Datsun GO NXT,6000,Petrol,Manual,First,20.63,1198.0,,2.5
2013,Kolkata,Honda Brio S MT,33280,Petrol,Manual,First,19.4,1198.0,,2.39
2013,Delhi,Mercedes-Benz B Class B180,29000,Petrol,Automatic,First,14.8,1595.0,,11.25
2015,Kochi,Honda City i DTEC V,42831,Diesel,Manual,First,26.0,1498.0,,7.11
2016,Ahmedabad,Toyota Innova 2.5 G (Diesel) 7 Seater,90000,Diesel,Manual,First,12.99,2494.0,,10.9
2017,Ahmedabad,Maruti Swift VXI Optional,24005,Petrol,Manual,First,20.4,1197.0,,6.2
2012,Mumbai,Mahindra XUV500 W8 2WD,32792,Diesel,Manual,First,15.1,2179.0,,7.9
2014,Kochi,Ford Ecosport 1.5 DV5 MT Ambiente,147898,Diesel,Manual,First,22.7,1498.0,,4.42
2012,Mumbai,Toyota Fortuner 4x2 Manual,131765,Diesel,Manual,First,13.0,2982.0,,13.5
2013,Chennai,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,65000,Diesel,Automatic,First,21.5,1498.0,,6.25
2010,Jaipur,Ford Figo Diesel Titanium,66123,Diesel,Manual,Second,20.0,1399.0,,2.1
2015,Mumbai,BMW X5 xDrive 30d,41000,Diesel,Automatic,First,15.3,2993.0,,45.0
2017,Coimbatore,Mercedes-Benz New C-Class C 220 CDI Style,23550,Diesel,Automatic,First,19.27,2143.0,,33.66
2012,Bangalore,Honda Brio V MT,45000,Petrol,Manual,Second,19.4,1198.0,,3.65
2013,Delhi,Hyundai i10 Magna 1.2,60000,Petrol,Manual,First,20.36,1197.0,,2.75
2016,Bangalore,Mercedes-Benz GLC 220,44414,Diesel,Automatic,First,17.9,2143.0,,42.5
2019,Kolkata,Hyundai Grand i10 1.2 Kappa Asta,1000,Petrol,Manual,First,18.9,1197.0,7.39 Lakh,6.5
2012,Mumbai,Audi A6 2011-2015 2.0 TDI Premium Plus,62500,Diesel,Automatic,Second,17.68,1968.0,,19.0
2013,Mumbai,Volkswagen Vento Petrol Highline AT,21000,Petrol,Automatic,Second,14.4,1598.0,,4.45
2017,Jaipur,Mini Countryman Cooper D,8525,Diesel,Automatic,Second,16.6,1998.0,,23.0
2014,Bangalore,Hyundai i20 Asta 1.4 CRDi,29000,Diesel,Manual,First,22.54,1396.0,,8.35
2014,Mumbai,Audi A6 2011-2015 2.0 TDI Premium Plus,40000,Diesel,Automatic,First,17.68,1968.0,,22.95
2012,Jaipur,Chevrolet Beat Diesel LT,88000,Diesel,Manual,First,25.44,936.0,,1.5
2012,Kochi,Skoda Superb Elegance 1.8 TSI AT,53537,Petrol,Automatic,First,13.7,1798.0,,6.89
2006,Chennai,Ford Fiesta 1.4 TDCi EXI Limited Edition,216000,Diesel,Manual,Second,17.8,1399.0,,1.45
2014,Hyderabad,BMW 5 Series 520d Luxury Line,51000,Diesel,Automatic,First,22.48,1995.0,69.47 Lakh,33.5
2007,Jaipur,Chevrolet Optra Magnum 1.6 LS BS3,118500,Petrol,Manual,First,12.9,1598.0,,1.25
2012,Hyderabad,Volkswagen Polo Diesel Highline 1.2L,63000,Diesel,Manual,First,22.07,1199.0,,4.2
2015,Mumbai,Renault Lodgy 110PS RxZ 8 Seater,25000,Diesel,Manual,First,19.98,1461.0,,6.75
2014,Bangalore,Mercedes-Benz E-Class E250 CDI Avantgrade,37382,Diesel,Automatic,First,13.0,2143.0,,32.0
2017,Kochi,Maruti Baleno Alpha,24773,Petrol,Manual,First,21.4,1197.0,8.78 Lakh,7.5
2012,Delhi,Hyundai Verna 1.6 SX,62000,Diesel,Manual,First,22.32,1582.0,,4.6
2017,Kochi,Hyundai i10 Magna 1.1,52340,Petrol,Manual,First,19.81,1086.0,,4.04
2016,Kochi,Mahindra Scorpio 1.99 S10 4WD,56739,Diesel,Manual,First,15.4,1997.0,,10.31
2018,Coimbatore,Land Rover Range Rover 2.2L Dynamic,36091,Diesel,Automatic,First,12.7,2179.0,,55.76
2010,Chennai,Ford Figo Diesel ZXI,120000,Diesel,Manual,First,20.0,1399.0,,2.6
2016,Mumbai,Maruti Ertiga ZDI,33000,Diesel,Manual,First,25.47,1248.0,12.74 Lakh,8.5
2007,Ahmedabad,Honda City 1.5 GXI,60006,Petrol,Manual,First,0.0,,,2.95
2014,Kolkata,Honda Amaze S i-Dtech,52000,Diesel,Manual,First,25.8,1498.0,,3.5
2015,Jaipur,Hyundai i10 Magna,43571,Petrol,Manual,First,20.36,1197.0,,3.55
2013,Kolkata,Honda Amaze S i-Dtech,50000,Diesel,Manual,First,25.8,1498.0,,3.25
2008,Hyderabad,Skoda Laura Ambiente,113000,Diesel,Manual,First,17.5,1896.0,,4.5
2014,Delhi,Renault Duster 85PS Diesel RxL,90000,Diesel,Manual,First,19.87,1461.0,,5.35
2017,Chennai,Mahindra NuvoSport N6,29000,Diesel,Manual,Second,17.45,1493.0,10.52 Lakh,6.5
2016,Mumbai,Maruti Vitara Brezza ZDi Plus Dual Tone,20000,Diesel,Manual,First,24.3,1248.0,11.98 Lakh,9.0
2016,Kochi,Hyundai i20 Asta Option 1.2,61012,Petrol,Manual,First,18.6,1197.0,,6.0
2009,Jaipur,Skoda Fabia 1.4 MPI Ambiente,87459,Petrol,Manual,First,14.7,1390.0,,2.75
2010,Pune,Tata Indigo eCS GLX,70500,Petrol,Manual,First,15.64,1193.0,,1.5
2015,Delhi,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,64103,Diesel,Automatic,First,15.73,1968.0,,19.9
2014,Mumbai,Skoda Octavia Elegance 1.8 TSI AT,76000,Petrol,Automatic,First,14.7,1798.0,,10.0
2014,Delhi,Toyota Etios Liva GD SP,104000,Diesel,Manual,First,23.59,1364.0,,3.0
2010,Kolkata,Maruti Swift 1.3 VXi,42001,Petrol,Manual,First,16.1,,,2.11
2014,Kochi,Mercedes-Benz B Class B180,37245,Petrol,Automatic,First,14.8,1595.0,,11.96
2013,Kolkata,Honda Amaze S Diesel,45000,Diesel,Manual,First,27.4,1498.0,8.54 Lakh,3.25
2012,Jaipur,Hyundai Verna 1.6 SX,117837,Diesel,Manual,Second,22.32,1582.0,,4.75
2014,Mumbai,Renault Duster 85PS Diesel RxL Optional,30000,Diesel,Manual,First,20.46,1461.0,,5.95
2015,Delhi,Hyundai Creta 1.6 VTVT S,27057,Petrol,Manual,Second,15.29,1591.0,,8.15
2016,Mumbai,Maruti Wagon R AMT VXI,8500,Petrol,Automatic,First,20.51,998.0,,4.22
2010,Kolkata,Mercedes-Benz New C-Class C250 Avantgarde,30500,Petrol,Automatic,First,11.74,1796.0,,10.5
2012,Delhi,Audi A8 L 3.0 TDI quattro,56000,Diesel,Automatic,First,11.8,2967.0,,45.0
2012,Pune,Hyundai i10 Magna 1.1,44000,Petrol,Manual,Second,19.81,1086.0,,2.9
2017,Mumbai,Skoda Rapid 1.6 MPI AT Style Black Package,10500,Petrol,Automatic,First,14.3,1598.0,,8.9
2017,Hyderabad,Skoda Superb Style 1.8 TSI AT,26000,Petrol,Automatic,First,14.67,1798.0,33.58 Lakh,26.0
2018,Coimbatore,Hyundai i20 Active 1.2 SX,25166,Petrol,Manual,First,17.19,1197.0,,8.22
2014,Kolkata,Honda Amaze VX i-DTEC,64000,Diesel,Manual,Second,25.8,1498.0,,3.5
2004,Chennai,Maruti Wagon R LXI,61000,Petrol,Manual,Second,18.9,998.0,,1.25
2013,Hyderabad,Mahindra Verito 1.5 D4 BSIV,107000,Diesel,Manual,First,21.03,1461.0,9.12 Lakh,3.7
2018,Coimbatore,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,29161,Diesel,Automatic,First,19.27,2143.0,,39.41
2013,Kolkata,Maruti Wagon R VXI,32000,Petrol,Manual,First,22.5,998.0,5.29 Lakh,2.65
2015,Coimbatore,Nissan Terrano XV Premium 110 PS Anniversary Edition,46173,Diesel,Manual,Second,19.01,1461.0,,8.92
2013,Delhi,Maruti Swift VDI BSIV,47000,Diesel,Manual,First,17.8,1248.0,,4.1
2017,Kochi,Mini Cooper Convertible S,26327,Petrol,Automatic,First,16.82,1998.0,44.28 Lakh,35.67
2015,Bangalore,Ford Figo Diesel,70436,Diesel,Manual,First,0.0,1498.0,,3.6
2007,Jaipur,Tata Indica V2 DLS BSII,200000,Diesel,Manual,Second,17.2,1396.0,,0.85
2016,Kochi,Chevrolet Beat LT,60813,Petrol,Manual,Second,18.6,1199.0,,3.32
2012,Mumbai,Volkswagen Polo Diesel Comfortline 1.2L,45000,Diesel,Manual,First,22.07,1199.0,,3.6
2016,Hyderabad,Maruti Swift ZDi,64000,Diesel,Manual,First,22.9,1248.0,,6.8
2012,Kolkata,Ford Figo Diesel EXI,41284,Diesel,Manual,First,20.0,1399.0,,2.5
2019,Kochi,Toyota Innova Crysta 2.8 GX AT,14165,Diesel,Automatic,First,11.36,2755.0,20.74 Lakh,19.64
2011,Mumbai,Hyundai Santa Fe 4x4 AT,67000,Diesel,Automatic,Second,11.72,2199.0,,7.0
2011,Kolkata,Honda City i-VTEC V,32572,Petrol,Manual,First,17.4,1497.0,11.74 Lakh,3.87
2018,Kochi,Hyundai i20 1.2 Magna Executive,14960,Petrol,Manual,First,18.6,1197.0,,6.27
2015,Kochi,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,55980,Diesel,Automatic,First,19.27,2143.0,,18.12
2013,Mumbai,Chevrolet Beat Diesel LT,74000,Diesel,Manual,First,25.44,936.0,,2.65
2015,Kochi,Hyundai i20 Sportz 1.4 CRDi,56847,Diesel,Manual,First,22.54,1396.0,,7.2
2015,Coimbatore,Toyota Innova 2.5 Z Diesel 7 Seater,121374,Diesel,Manual,First,12.99,2494.0,,14.3
2013,Chennai,Maruti Ertiga VDI,52000,Diesel,Manual,First,20.77,1248.0,,6.9
2014,Mumbai,Toyota Innova 2.5 V Diesel 7-seater,118000,Diesel,Manual,First,12.8,2494.0,,10.75
